星期,年月日,睡眠分数,睡眠时长(分钟),轻度睡眠,深睡,休息心率,睡觉开始时间,睡觉结束时间
1,2022/6/29,77,456,26%,29%,76%,12:10,19:46
7,2022/2/20,81,454,29%,4%,95%,0:45,8:19
6,2022/2/19,75,481,11%,22%,76%,23:43,7:44
2,2022/8/21,77,486,27%,27%,73%,14:19,22:25
1,2022/5/26,74,560,23%,14%,98%,4:47,14:07
3,2022/7/11,73,469,28%,1%,95%,19:17,3:06
5,2022/4/4,82,503,15%,10%,73%,21:15,5:38
1,2022/7/15,83,501,25%,23%,88%,11:03,19:24
2,2022/3/17,75,362,12%,0%,74%,17:27,23:29
1,2022/7/14,74,420,17%,14%,96%,23:41,6:41
4,2022/1/25,74,473,20%,15%,74%,10:31,18:24
1,2022/1/21,79,426,3%,16%,89%,16:37,23:43
1,2022/5/24,98,401,21%,23%,90%,19:54,2:35
5,2022/3/5,98,478,4%,26%,93%,6:35,14:33
6,2022/8/24,76,587,25%,28%,79%,14:32,0:19
5,2022/1/22,86,580,10%,16%,94%,21:44,7:24
5,2022/7/28,84,398,21%,3%,96%,1:48,8:26
2,2022/7/4,89,402,28%,12%,74%,16:24,23:06
1,2022/1/2,80,312,28%,7%,79%,0:17,5:29
3,2022/6/19,74,524,6%,14%,85%,2:18,11:02
5,2022/8/19,70,536,19%,5%,87%,18:41,3:37
4,2022/5/1,72,559,29%,29%,78%,3:40,12:59
7,2022/6/27,91,586,2%,13%,98%,19:17,5:03
4,2022/2/24,71,390,7%,5%,89%,14:07,20:37
5,2022/5/11,87,501,13%,30%,88%,18:47,3:08
7,2022/2/28,93,487,28%,9%,97%,7:34,15:41
3,2022/1/3,87,531,8%,2%,74%,13:36,22:27
3,2022/7/7,98,542,10%,1%,100%,0:43,9:45
5,2022/8/29,88,546,18%,13%,97%,10:01,19:07
4,2022/5/6,81,463,14%,14%,74%,4:12,11:55
5,2022/8/17,97,438,23%,27%,95%,19:38,2:56
2,2022/4/22,76,425,16%,30%,70%,21:15,4:20
5,2022/6/15,87,566,2%,11%,89%,18:22,3:48
3,2022/1/2,82,543,15%,4%,81%,23:29,8:32
5,2022/5/28,98,536,4%,23%,77%,9:25,18:21
3,2022/7/28,77,428,10%,23%,80%,15:35,22:43
7,2022/7/23,72,446,23%,6%,70%,2:48,10:14
7,2022/1/20,77,577,17%,1%,72%,14:27,0:04
1,2022/3/29,81,573,26%,25%,93%,23:15,8:48
5,2022/7/26,87,527,16%,29%,97%,12:51,21:38
6,2022/3/20,78,557,28%,12%,87%,19:06,4:23
6,2022/8/7,84,359,16%,6%,92%,5:21,11:20
6,2022/7/22,99,544,30%,13%,95%,5:07,14:11
3,2022/8/22,84,394,29%,25%,91%,5:23,11:57
3,2022/3/22,90,346,28%,28%,82%,6:30,12:16
2,2022/8/8,81,434,16%,3%,84%,16:32,23:46
4,2022/2/5,71,367,26%,13%,77%,15:02,21:09
5,2022/2/28,99,434,9%,4%,99%,15:26,22:40
1,2022/2/12,84,594,22%,25%,93%,20:59,6:53
3,2022/7/4,75,472,2%,19%,90%,19:55,3:47
7,2022/3/11,71,583,12%,17%,84%,23:46,9:29
6,2022/7/21,71,341,19%,6%,94%,21:47,3:28
7,2022/7/13,89,417,30%,12%,86%,4:11,11:08
2,2022/8/19,70,531,14%,15%,77%,21:55,6:46
6,2022/2/13,90,447,12%,28%,82%,0:45,8:12
7,2022/2/8,79,566,19%,20%,76%,19:24,4:50
6,2022/7/14,71,477,17%,25%,71%,4:12,12:09
5,2022/7/8,82,592,0%,3%,93%,11:07,20:59
1,2022/8/9,81,535,14%,2%,80%,9:19,18:14
1,2022/2/3,81,371,10%,6%,99%,8:45,14:56
6,2022/6/13,95,451,19%,28%,73%,3:56,11:27
4,2022/5/28,73,544,25%,18%,77%,3:35,12:39
5,2022/6/28,88,401,16%,21%,82%,8:56,15:37
3,2022/1/24,72,530,26%,23%,79%,14:08,22:58
7,2022/3/28,71,317,21%,29%,84%,1:39,6:56
6,2022/5/21,92,418,18%,10%,75%,20:41,3:39
7,2022/2/14,70,488,9%,24%,86%,1:34,9:42
2,2022/8/5,90,329,19%,0%,86%,22:59,4:28
3,2022/1/13,84,480,10%,4%,90%,21:56,5:56
6,2022/7/3,98,375,22%,21%,77%,11:47,18:02
7,2022/3/4,97,492,22%,6%,71%,15:58,0:10
3,2022/8/10,73,569,17%,5%,84%,11:45,21:14
6,2022/4/23,87,583,13%,7%,100%,21:43,7:26
3,2022/3/7,97,400,18%,11%,88%,16:36,23:16
6,2022/6/18,95,520,7%,5%,81%,10:04,18:44
3,2022/6/30,74,466,4%,19%,95%,19:56,3:42
6,2022/7/18,99,360,3%,3%,83%,6:53,12:53
7,2022/7/6,77,364,28%,27%,83%,16:13,22:17
5,2022/5/19,83,361,7%,17%,87%,5:04,11:05
4,2022/5/17,99,594,3%,30%,74%,19:21,5:15
3,2022/4/1,94,380,26%,21%,83%,1:23,7:43
4,2022/7/25,71,365,29%,25%,77%,17:48,23:53
5,2022/2/24,83,545,8%,4%,74%,14:39,23:44
1,2022/7/10,97,512,29%,16%,72%,13:09,21:41
2,2022/1/12,93,390,0%,28%,99%,23:52,6:22
4,2022/2/25,93,312,22%,12%,78%,10:16,15:28
5,2022/8/27,75,490,12%,8%,84%,11:11,19:21
5,2022/8/17,97,453,22%,8%,79%,13:56,21:29
1,2022/2/17,81,485,26%,12%,97%,8:15,16:20
3,2022/2/18,83,580,26%,12%,77%,13:21,23:01
3,2022/8/5,90,393,22%,16%,78%,11:06,17:39
4,2022/8/8,94,517,22%,22%,70%,2:24,11:01
7,2022/4/14,81,361,26%,0%,92%,8:30,14:31
5,2022/1/21,90,433,30%,28%,89%,13:47,21:00
3,2022/8/5,84,357,7%,20%,91%,13:36,19:33
5,2022/5/7,95,500,23%,7%,83%,3:55,12:15
6,2022/2/7,71,343,10%,12%,83%,3:01,8:44
4,2022/4/14,78,594,1%,0%,74%,10:27,20:21
4,2022/7/11,88,538,5%,11%,84%,23:39,8:37
5,2022/6/27,75,413,17%,25%,87%,15:32,22:25
3,2022/3/4,82,499,9%,0%,90%,1:38,9:57
2,2022/8/23,87,324,1%,11%,90%,22:11,3:35
5,2022/6/27,93,503,0%,7%,76%,23:37,8:00
6,2022/6/17,78,380,10%,22%,80%,15:31,21:51
1,2022/1/4,88,343,21%,11%,77%,8:30,14:13
2,2022/3/27,86,509,29%,14%,87%,23:59,8:28
4,2022/6/7,74,364,29%,13%,70%,19:33,1:37
2,2022/1/11,93,524,10%,3%,72%,14:43,23:27
6,2022/1/14,77,323,27%,10%,97%,7:04,12:27
1,2022/6/12,79,483,0%,26%,98%,22:04,6:07
2,2022/8/25,82,459,26%,18%,75%,10:05,17:44
1,2022/4/9,94,554,30%,16%,77%,23:42,8:56
1,2022/6/21,86,536,18%,18%,70%,15:08,0:04
5,2022/8/7,75,544,6%,13%,97%,0:52,9:56
4,2022/4/29,89,475,18%,21%,92%,21:52,5:47
7,2022/5/9,72,368,6%,12%,98%,16:44,22:52
5,2022/5/30,70,349,14%,2%,94%,2:33,8:22
1,2022/6/30,91,419,0%,26%,73%,11:53,18:52
7,2022/1/14,84,471,1%,29%,80%,16:56,0:47
2,2022/3/10,84,556,25%,25%,94%,0:12,9:28
4,2022/7/4,71,368,20%,24%,77%,4:24,10:32
2,2022/4/25,87,473,24%,1%,82%,7:54,15:47
5,2022/1/2,79,515,2%,30%,73%,19:10,3:45
